award_id,dollars_obligated,awarding_agency_name,recipient_duns,recipient_name,contract_pricing_code,contract_pricing,naics_code,naics_description,extent_competed,solicitation_procedures,awarding_agency_abbr
36C24419N0072,15397.42,DEPARTMENT OF VETERANS AFFAIRS (VA),11038254,"HY-POINT DAIRY FARMS, INC.",J,FIRM FIXED PRICE,311511,FLUID MILK MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,VA
36C24819N0049,107464.25,DEPARTMENT OF VETERANS AFFAIRS (VA),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,334510,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,NOT COMPETED,ONLY ONE SOURCE,VA
36C25019N0067,0,DEPARTMENT OF VETERANS AFFAIRS (VA),51154354,"ADVANT-EDGE SOLUTIONS OF MIDDLE ATLANTIC, INC.",J,FIRM FIXED PRICE,562211,HAZARDOUS WASTE TREATMENT AND DISPOSAL,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,VA
36C25619F0051,134292,DEPARTMENT OF VETERANS AFFAIRS (VA),51154354,"ADVANT-EDGE SOLUTIONS OF MIDDLE ATLANTIC, INC.",J,FIRM FIXED PRICE,562112,HAZARDOUS WASTE COLLECTION,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,VA
TFSAFIN16K0015,152469.56,DEPARTMENT OF THE TREASURY (TREAS),962331745,DLT FEDERAL BUSINESS SYSTEMS CORPORATION,J,FIRM FIXED PRICE,334111,ELECTRONIC COMPUTER MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,TREAS
VA25817F2459,10021.44,DEPARTMENT OF VETERANS AFFAIRS (VA),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,VA
VA24417P3911,14560,DEPARTMENT OF VETERANS AFFAIRS (VA),151615668,"QUARTARONE, JANE",J,FIRM FIXED PRICE,561320,TEMPORARY HELP SERVICES,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,VA
47QRAA19D0005,0,GENERAL SERVICES ADMINISTRATION (GSA),79258470,KIMBLES AVIATION LOGISTICAL SERVICES INC,K,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,GSA
47QRAA19D0005,0,GENERAL SERVICES ADMINISTRATION (GSA),79258470,KIMBLES AVIATION LOGISTICAL SERVICES INC,K,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,GSA
2033H619F00037,165133,DEPARTMENT OF THE TREASURY (TREAS),167260889,"EMENTUM, INC.",J,FIRM FIXED PRICE,541618,OTHER MANAGEMENT CONSULTING SERVICES,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,TREAS
70Z02719P5AJ02800,731.25,DEPARTMENT OF HOMELAND SECURITY (DHS),74503843,WASTE MANAGEMENT OF DELAWARE INC.,J,FIRM FIXED PRICE,562111,SOLID WASTE COLLECTION,NOT COMPETED,ONLY ONE SOURCE,DHS
DJA15AHDQP0810,21870,DEPARTMENT OF JUSTICE (DOJ),968093398,SUMURI LLC,J,FIRM FIXED PRICE,423430,COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,NOT COMPETED,ONLY ONE SOURCE,DOJ
IND16PD01058,13977,DEPARTMENT OF THE INTERIOR (DOI),849956883,FRONTIER TECHNOLOGIES INC.,J,FIRM FIXED PRICE,541519,OTHER COMPUTER RELATED SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,DOI
V797D40003,0,DEPARTMENT OF VETERANS AFFAIRS (VA),782540215,"MARLEX PHARMACEUTICALS, INC.",K,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,VA
V797D40003,0,DEPARTMENT OF VETERANS AFFAIRS (VA),782540215,"MARLEX PHARMACEUTICALS, INC.",K,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,VA
VA24514C0124,251580,DEPARTMENT OF VETERANS AFFAIRS (VA),51154354,"ADVANT-EDGE SOLUTIONS OF MIDDLE ATLANTIC, INC.",J,FIRM FIXED PRICE,562112,HAZARDOUS WASTE COLLECTION,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,VA
HSCG2716PP2P701,18675,DEPARTMENT OF HOMELAND SECURITY (DHS),51154354,"ADVANT-EDGE SOLUTIONS OF MIDDLE ATLANTIC, INC.",J,FIRM FIXED PRICE,562119,OTHER WASTE COLLECTION,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,DHS
41,940000,ENVIRONMENTAL PROTECTION AGENCY (EPA),197020662,"GUARDIAN ENVIRONMENTAL SERVICES COMPANY, INC.",Y,TIME AND MATERIALS,562910,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,EPA
EDFSA09D0015,200511082.3,DEPARTMENT OF EDUCATION (ED),16242890,NAVIENT CORPORATION,K,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,522390,OTHER ACTIVITIES RELATED TO CREDIT INTERMEDIATION,FULL AND OPEN COMPETITION,TWO STEP,ED
36C24419C0022,56000,DEPARTMENT OF VETERANS AFFAIRS (VA),619015865,"PENINSULA ENERGY SERVICES COMPANY, INC.",J,FIRM FIXED PRICE,221210,NATURAL GAS DISTRIBUTION,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,VA
GS07F5446R,0,GENERAL SERVICES ADMINISTRATION (GSA),796913192,LABWARE INCORPORATED,K,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,GSA
70Z08518P30243B00,13992,DEPARTMENT OF HOMELAND SECURITY (DHS),807372008,TIMKEN GEARS & SERVICES INC.,J,FIRM FIXED PRICE,333613,MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING,NOT COMPETED,ONLY ONE SOURCE,DHS
15DDL518P00000021,7638,DEPARTMENT OF JUSTICE (DOJ),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,DOJ
36C24419P0033,100000,DEPARTMENT OF VETERANS AFFAIRS (VA),619015865,"PENINSULA ENERGY SERVICES COMPANY, INC.",J,FIRM FIXED PRICE,221210,NATURAL GAS DISTRIBUTION,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,VA
70Z08518P39044B00,30243,DEPARTMENT OF HOMELAND SECURITY (DHS),807372008,TIMKEN GEARS & SERVICES INC.,J,FIRM FIXED PRICE,336611,SHIP BUILDING AND REPAIRING,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,DHS
15DDL518P00000021,7638,DEPARTMENT OF JUSTICE (DOJ),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,DOJ
HHSI241201300148G,1010649.05,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),5088112,SIEMENS HEALTHCARE DIAGNOSTICS INC,J,FIRM FIXED PRICE,339111,LABORATORY APPARATUS AND FURNITURE MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,HHS
GS35F251DA,0,GENERAL SERVICES ADMINISTRATION (GSA),828817192,"INSIGHT ENGINEERING SOLUTIONS, INC.",J,FIRM FIXED PRICE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,GSA
GS35F251DA,0,GENERAL SERVICES ADMINISTRATION (GSA),828817192,"INSIGHT ENGINEERING SOLUTIONS, INC.",J,FIRM FIXED PRICE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,GSA
36C24419P0041,98000,DEPARTMENT OF VETERANS AFFAIRS (VA),9420485,"CONECTIV, LLC",J,FIRM FIXED PRICE,221210,NATURAL GAS DISTRIBUTION,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,VA
36C24419P0042,127000,DEPARTMENT OF VETERANS AFFAIRS (VA),178051975,"ARTESIAN WATER COMPANY, INC.",J,FIRM FIXED PRICE,221310,WATER SUPPLY AND IRRIGATION SYSTEMS,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,VA
36C24419P0043,48000,DEPARTMENT OF VETERANS AFFAIRS (VA),77095057,COUNTY OF NEW CASTLE,J,FIRM FIXED PRICE,221320,SEWAGE TREATMENT FACILITIES,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,VA
36C24419P0044,15000,DEPARTMENT OF VETERANS AFFAIRS (VA),80057835,20 MONT LLC,J,FIRM FIXED PRICE,221122,ELECTRIC POWER DISTRIBUTION,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,VA
GS07F342AA,0,GENERAL SERVICES ADMINISTRATION (GSA),187266259,ILC DOVER LP,K,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,315990,APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,GSA
SKU20017D0003,0,DEPARTMENT OF STATE (DOS),6918718,AMERICAN LIFE INSURANCE COMPANY,J,FIRM FIXED PRICE,524114,DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,DOS
DOCSA130115CN0016,1421829.96,DEPARTMENT OF COMMERCE (DOC),24329724,"ADVANCED POWER CONTROL, INC.",J,FIRM FIXED PRICE,561210,FACILITIES SUPPORT SERVICES,NOT COMPETED,ONLY ONE SOURCE,DOC
36C24419P0045,14000,DEPARTMENT OF VETERANS AFFAIRS (VA),77093664,"DOVER, CITY OF (INC)",J,FIRM FIXED PRICE,221122,ELECTRIC POWER DISTRIBUTION,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,VA
36C24419P0046,21000,DEPARTMENT OF VETERANS AFFAIRS (VA),41952581,CHESAPEAKE UTILITIES CORPORATION,J,FIRM FIXED PRICE,221210,NATURAL GAS DISTRIBUTION,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,VA
70US0918P70090267,100676.04,DEPARTMENT OF HOMELAND SECURITY (DHS),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,NOT COMPETED,ONLY ONE SOURCE,DHS
19KU2019F0003,1211991.28,DEPARTMENT OF STATE (DOS),6918718,AMERICAN LIFE INSURANCE COMPANY,J,FIRM FIXED PRICE,524114,DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,DOS
19KU2019F0004,44620.46,DEPARTMENT OF STATE (DOS),6918718,AMERICAN LIFE INSURANCE COMPANY,J,FIRM FIXED PRICE,524114,DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,DOS
36C24419F0089,12478,DEPARTMENT OF VETERANS AFFAIRS (VA),627883007,ACCESS4U INC.,J,FIRM FIXED PRICE,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,VA
GS35F008GA,0,GENERAL SERVICES ADMINISTRATION (GSA),78747322,UNITE USA INC.,J,FIRM FIXED PRICE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,GSA
GS35F363DA,0,GENERAL SERVICES ADMINISTRATION (GSA),968093398,SUMURI LLC,J,FIRM FIXED PRICE,334290,OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,GSA
36C26218C0023,26740,DEPARTMENT OF VETERANS AFFAIRS (VA),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,811219,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,VA
IND17PC00114,1437109,DEPARTMENT OF THE INTERIOR (DOI),71744143,EM PHOTONICS INC,U,COST PLUS FIXED FEE,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,DOI
15DDL319P00000005,2816,DEPARTMENT OF JUSTICE (DOJ),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,811219,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,NOT COMPETED,ONLY ONE SOURCE,DOJ
15DDSE18P00000063,1721.42,DEPARTMENT OF JUSTICE (DOJ),832418243,"EXPLORER SATELLITE SERVICES, LLC",J,FIRM FIXED PRICE,517911,TELECOMMUNICATIONS RESELLERS,NOT COMPETED,ONLY ONE SOURCE,DOJ
36C24419P0040,1001357.52,DEPARTMENT OF VETERANS AFFAIRS (VA),9420485,"CONECTIV, LLC",J,FIRM FIXED PRICE,221122,ELECTRIC POWER DISTRIBUTION,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,VA
4,120000,ENVIRONMENTAL PROTECTION AGENCY (EPA),197020662,"GUARDIAN ENVIRONMENTAL SERVICES COMPANY, INC.",Y,TIME AND MATERIALS,562910,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,EPA
GS35F205DA,0,GENERAL SERVICES ADMINISTRATION (GSA),124367041,STAR COMMUNICATION INC,J,FIRM FIXED PRICE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,GSA
36C25819P0018,44843.76,DEPARTMENT OF VETERANS AFFAIRS (VA),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,811219,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,NOT COMPETED,ONLY ONE SOURCE,VA
15DDL418F00000009,4112.04,DEPARTMENT OF JUSTICE (DOJ),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,DOJ
36C26119F0055,11139.7,DEPARTMENT OF VETERANS AFFAIRS (VA),143635477,"ARACENT HEALTHCARE, LLC",J,FIRM FIXED PRICE,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,VA
HHSD2002018F96338,29090.88,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,HHS
127B3119P0002,10886,DEPARTMENT OF AGRICULTURE (USDA),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,NOT COMPETED,ONLY ONE SOURCE,USDA
140F0518P0161,17050,DEPARTMENT OF THE INTERIOR (DOI),839102589,"TANGENT CABLE SYSTEMS, INC.",J,FIRM FIXED PRICE,237130,POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,DOI
PBGC01PO160004,114898.81,PENSION BENEFIT GUARANTY CORPORATION (DOL),6918908,VERIZON DELAWARE LLC,J,FIRM FIXED PRICE,517110,WIRED TELECOMMUNICATIONS CARRIERS,NOT COMPETED,ONLY ONE SOURCE,DOL
2036X518C00002,0,DEPARTMENT OF THE TREASURY (TREAS),2484723,KEEN COMPRESSED GAS CO,J,FIRM FIXED PRICE,325120,INDUSTRIAL GAS MANUFACTURING,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,TREAS
36C24819D0009,0,DEPARTMENT OF VETERANS AFFAIRS (VA),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,334510,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,NOT COMPETED,ONLY ONE SOURCE,VA
15DDL619P00000002,2811,DEPARTMENT OF JUSTICE (DOJ),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,811219,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,DOJ
12314418F0708,192500,DEPARTMENT OF AGRICULTURE (USDA),796913192,LABWARE INCORPORATED,J,FIRM FIXED PRICE,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,USDA
2036X519F00001,128000,DEPARTMENT OF THE TREASURY (TREAS),2484723,KEEN COMPRESSED GAS CO,J,FIRM FIXED PRICE,325120,INDUSTRIAL GAS MANUFACTURING,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,TREAS
68HE0219F0005,50000,ENVIRONMENTAL PROTECTION AGENCY (EPA),197020662,"GUARDIAN ENVIRONMENTAL SERVICES COMPANY, INC.",Y,TIME AND MATERIALS,562910,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,EPA
HHSF223201400424G,529651.8,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,HHS
GS35F161DA,0,GENERAL SERVICES ADMINISTRATION (GSA),181854191,"WEBSTUDY, INC.",J,FIRM FIXED PRICE,541519,OTHER COMPUTER RELATED SERVICES,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,GSA
GS35F205DA,0,GENERAL SERVICES ADMINISTRATION (GSA),124367041,STAR COMMUNICATION INC,J,FIRM FIXED PRICE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,GSA
15DDL118P00000026,7231.75,DEPARTMENT OF JUSTICE (DOJ),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,811219,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,DOJ
15DDPH19P00000006,1000.5,DEPARTMENT OF JUSTICE (DOJ),48611354,SECURITY INSTRUMENT CORP OF DELAWARE,J,FIRM FIXED PRICE,561621,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),NOT COMPETED,ONLY ONE SOURCE,DOJ
23,7167639.69,ENVIRONMENTAL PROTECTION AGENCY (EPA),197020662,"GUARDIAN ENVIRONMENTAL SERVICES COMPANY, INC.",Z,LABOR HOURS,562910,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,EPA
15B20419FUP410001,487000,DEPARTMENT OF JUSTICE (DOJ),6971618,ATLANTIC CITY ELECTRIC COMPANY,J,FIRM FIXED PRICE,221112,FOSSIL FUEL ELECTRIC POWER GENERATION,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,DOJ
68HE0218F0384,75000,ENVIRONMENTAL PROTECTION AGENCY (EPA),197020662,"GUARDIAN ENVIRONMENTAL SERVICES COMPANY, INC.",Y,TIME AND MATERIALS,562910,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,EPA
PSA16F0002,62371.92,COURT SERVICES AND OFFENDER SUPERVISION AGENCY (CSOSA),195823570,"AGILENT TECHNOLOGIES, INC.",J,FIRM FIXED PRICE,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CSOSA
47QSWA19F016H,9118,GENERAL SERVICES ADMINISTRATION (GSA),2337277,ARROW SAFETY DEVICE CO.,K,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,336320,MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,GSA
95170019K0001,30000,BROADCASTING BOARD OF GOVERNORS (BBG),794253315,ATLAS SERVICE CORPS,J,FIRM FIXED PRICE,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,BBG
DJD17SEP0084,8965.28,DEPARTMENT OF JUSTICE (DOJ),832418243,"EXPLORER SATELLITE SERVICES, LLC",J,FIRM FIXED PRICE,517911,TELECOMMUNICATIONS RESELLERS,NOT COMPETED,ONLY ONE SOURCE,DOJ
